"Time (UTC)","Day-ahead Total Load Forecast [MW] - BZN|GB","Actual Total Load [MW] - BZN|GB"
"01.01.2019 00:00 - 01.01.2019 00:30","27271","26723"
"01.01.2019 00:30 - 01.01.2019 01:00","27676","27458"
"01.01.2019 01:00 - 01.01.2019 01:30","26848","27468"
"01.01.2019 01:30 - 01.01.2019 02:00","25675","26447"
"01.01.2019 02:00 - 01.01.2019 02:30","24773","24954"
"01.01.2019 02:30 - 01.01.2019 03:00","24044","24138"
"01.01.2019 03:00 - 01.01.2019 03:30","23197","22294"
"01.01.2019 03:30 - 01.01.2019 04:00","22481","21906"
"01.01.2019 04:00 - 01.01.2019 04:30","22117","21171"
"01.01.2019 04:30 - 01.01.2019 05:00","21928","20905"
"01.01.2019 05:00 - 01.01.2019 05:30","21875","20839"
"01.01.2019 05:30 - 01.01.2019 06:00","22266","21093"
"01.01.2019 06:00 - 01.01.2019 06:30","22746","21765"
"01.01.2019 06:30 - 01.01.2019 07:00","23072","22387"
"01.01.2019 07:00 - 01.01.2019 07:30","23234","24099"
"01.01.2019 07:30 - 01.01.2019 08:00","23378","24775"
"01.01.2019 08:00 - 01.01.2019 08:30","24112","25643"
"01.01.2019 08:30 - 01.01.2019 09:00","25367","26476"
"01.01.2019 09:00 - 01.01.2019 09:30","26771","28514"
"01.01.2019 09:30 - 01.01.2019 10:00","28126","29949"
"01.01.2019 10:00 - 01.01.2019 10:30","29439","31668"
"01.01.2019 10:30 - 01.01.2019 11:00","30711","32919"
"01.01.2019 11:00 - 01.01.2019 11:30","31826","34073"
"01.01.2019 11:30 - 01.01.2019 12:00","32564","34737"
"01.01.2019 12:00 - 01.01.2019 12:30","32860","35273"
"01.01.2019 12:30 - 01.01.2019 13:00","33308","35470"
"01.01.2019 13:00 - 01.01.2019 13:30","33675","35436"
"01.01.2019 13:30 - 01.01.2019 14:00","33583","35041"
"01.01.2019 14:00 - 01.01.2019 14:30","33380","34978"
"01.01.2019 14:30 - 01.01.2019 15:00","33290","34943"
"01.01.2019 15:00 - 01.01.2019 15:30","33704","35119"
"01.01.2019 15:30 - 01.01.2019 16:00","34761","35703"
"01.01.2019 16:00 - 01.01.2019 16:30","36859","37321"
"01.01.2019 16:30 - 01.01.2019 17:00","38516","39374"
"01.01.2019 17:00 - 01.01.2019 17:30","38727","40254"
"01.01.2019 17:30 - 01.01.2019 18:00","38111","40159"
"01.01.2019 18:00 - 01.01.2019 18:30","37427","39716"
"01.01.2019 18:30 - 01.01.2019 19:00","36662","38959"
"01.01.2019 19:00 - 01.01.2019 19:30","35581","38323"
"01.01.2019 19:30 - 01.01.2019 20:00","34641","37351"
"01.01.2019 20:00 - 01.01.2019 20:30","33598","36485"
"01.01.2019 20:30 - 01.01.2019 21:00","32525","35398"
"01.01.2019 21:00 - 01.01.2019 21:30","31396","34176"
"01.01.2019 21:30 - 01.01.2019 22:00","29985","32763"
"01.01.2019 22:00 - 01.01.2019 22:30","28643","30163"
"01.01.2019 22:30 - 01.01.2019 23:00","27229","28839"
"01.01.2019 23:00 - 01.01.2019 23:30","25868","27962"
"01.01.2019 23:30 - 02.01.2019 00:00","25306","26821"
"02.01.2019 00:00 - 02.01.2019 00:30","25815","27055"
"02.01.2019 00:30 - 02.01.2019 01:00","25951","27476"
"02.01.2019 01:00 - 02.01.2019 01:30","25545","27098"
"02.01.2019 01:30 - 02.01.2019 02:00","25099","26389"
"02.01.2019 02:00 - 02.01.2019 02:30","24966","25742"
"02.01.2019 02:30 - 02.01.2019 03:00","24909","25561"
"02.01.2019 03:00 - 02.01.2019 03:30","24628","25014"
"02.01.2019 03:30 - 02.01.2019 04:00","24398","24629"
"02.01.2019 04:00 - 02.01.2019 04:30","24395","24404"
"02.01.2019 04:30 - 02.01.2019 05:00","24885","24513"
"02.01.2019 05:00 - 02.01.2019 05:30","25804","25354"
"02.01.2019 05:30 - 02.01.2019 06:00","27745","26846"
"02.01.2019 06:00 - 02.01.2019 06:30","30334","30576"
"02.01.2019 06:30 - 02.01.2019 07:00","32849","32889"
"02.01.2019 07:00 - 02.01.2019 07:30","34948","33434"
"02.01.2019 07:30 - 02.01.2019 08:00","36634","34861"
"02.01.2019 08:00 - 02.01.2019 08:30","38589","38376"
"02.01.2019 08:30 - 02.01.2019 09:00","40119","39970"
"02.01.2019 09:00 - 02.01.2019 09:30","41101","41455"
"02.01.2019 09:30 - 02.01.2019 10:00","41708","42207"
"02.01.2019 10:00 - 02.01.2019 10:30","42273","43294"
"02.01.2019 10:30 - 02.01.2019 11:00","42795","43580"
"02.01.2019 11:00 - 02.01.2019 11:30","43107","43840"
"02.01.2019 11:30 - 02.01.2019 12:00","43327","43807"
"02.01.2019 12:00 - 02.01.2019 12:30","43280","43951"
"02.01.2019 12:30 - 02.01.2019 13:00","43134","44007"
"02.01.2019 13:00 - 02.01.2019 13:30","42930","44046"
"02.01.2019 13:30 - 02.01.2019 14:00","42484","43870"
"02.01.2019 14:00 - 02.01.2019 14:30","41806","43900"
"02.01.2019 14:30 - 02.01.2019 15:00","41460","43974"
"02.01.2019 15:00 - 02.01.2019 15:30","41911","43115"
"02.01.2019 15:30 - 02.01.2019 16:00","43044","43867"
"02.01.2019 16:00 - 02.01.2019 16:30","44948","45369"
"02.01.2019 16:30 - 02.01.2019 17:00","46624","46449"
"02.01.2019 17:00 - 02.01.2019 17:30","47205","47024"
"02.01.2019 17:30 - 02.01.2019 18:00","47096","46913"
"02.01.2019 18:00 - 02.01.2019 18:30","46618","46668"
"02.01.2019 18:30 - 02.01.2019 19:00","45932","46295"
"02.01.2019 19:00 - 02.01.2019 19:30","44697","45976"
"02.01.2019 19:30 - 02.01.2019 20:00","43318","44753"
"02.01.2019 20:00 - 02.01.2019 20:30","41964","43381"
"02.01.2019 20:30 - 02.01.2019 21:00","40294","41753"
"02.01.2019 21:00 - 02.01.2019 21:30","38319","40447"
"02.01.2019 21:30 - 02.01.2019 22:00","36123","38547"
"02.01.2019 22:00 - 02.01.2019 22:30","34154","36606"
"02.01.2019 22:30 - 02.01.2019 23:00","32031","34713"
"02.01.2019 23:00 - 02.01.2019 23:30","30315","32376"
"02.01.2019 23:30 - 03.01.2019 00:00","29582","30753"
"03.01.2019 00:00 - 03.01.2019 00:30","29865","30392"
"03.01.2019 00:30 - 03.01.2019 01:00","30051","30931"
"03.01.2019 01:00 - 03.01.2019 01:30","29479","30593"
"03.01.2019 01:30 - 03.01.2019 02:00","28739","29748"
"03.01.2019 02:00 - 03.01.2019 02:30","28519","28563"
"03.01.2019 02:30 - 03.01.2019 03:00","28503","28257"
"03.01.2019 03:00 - 03.01.2019 03:30","28103","27715"
"03.01.2019 03:30 - 03.01.2019 04:00","27788","27214"
"03.01.2019 04:00 - 03.01.2019 04:30","27600","26976"
"03.01.2019 04:30 - 03.01.2019 05:00","27886","27063"
"03.01.2019 05:00 - 03.01.2019 05:30","28569","27769"
"03.01.2019 05:30 - 03.01.2019 06:00","30502","29529"
"03.01.2019 06:00 - 03.01.2019 06:30","33491","32273"
"03.01.2019 06:30 - 03.01.2019 07:00","36858","34761"
"03.01.2019 07:00 - 03.01.2019 07:30","39777","37248"
"03.01.2019 07:30 - 03.01.2019 08:00","41240","39027"
"03.01.2019 08:00 - 03.01.2019 08:30","41897","40993"
"03.01.2019 08:30 - 03.01.2019 09:00","42583","42165"
"03.01.2019 09:00 - 03.01.2019 09:30","43686","42943"
"03.01.2019 09:30 - 03.01.2019 10:00","44413","43404"
"03.01.2019 10:00 - 03.01.2019 10:30","44759","43647"
"03.01.2019 10:30 - 03.01.2019 11:00","45038","44107"
"03.01.2019 11:00 - 03.01.2019 11:30","45252","44543"
"03.01.2019 11:30 - 03.01.2019 12:00","45366","44633"
"03.01.2019 12:00 - 03.01.2019 12:30","45416","44598"
"03.01.2019 12:30 - 03.01.2019 13:00","45353","44316"
"03.01.2019 13:00 - 03.01.2019 13:30","45196","44436"
"03.01.2019 13:30 - 03.01.2019 14:00","44940","44898"
"03.01.2019 14:00 - 03.01.2019 14:30","44565","45457"
"03.01.2019 14:30 - 03.01.2019 15:00","44206","45407"
"03.01.2019 15:00 - 03.01.2019 15:30","44601","46192"
"03.01.2019 15:30 - 03.01.2019 16:00","45743","46628"
