,ElectricityPrice (?/kwh),CarbonIntensity (g/kw),Marginal_CarbonIntensity (g/kw)
01/01/2019 00:00,0.06012,111.5,394
01/01/2019 01:00,0.05576,110.5,394
01/01/2019 02:00,0.04623,110.5,394
01/01/2019 03:00,0.0441,110,394
01/01/2019 04:00,0.04441,110.5,394
01/01/2019 05:00,0.04603,119.5,394
01/01/2019 06:00,0.051,134.5,394
01/01/2019 07:00,0.039,130,394
01/01/2019 08:00,0.04417,143,394
01/01/2019 09:00,0.0513,176,394
01/01/2019 10:00,0.05794,191,620.25
01/01/2019 11:00,0.05409,206.5,937
01/01/2019 12:00,0.05795,213.5,937
01/01/2019 13:00,0.06585,228.5,937
01/01/2019 14:00,0.07,237,937
01/01/2019 15:00,0.0489,253,937
01/01/2019 16:00,0.06993,287,937
01/01/2019 17:00,0.08484,294.5,937
01/01/2019 18:00,0.07057,297.5,937
01/01/2019 19:00,0.069,285,937
01/01/2019 20:00,0.06043,271.5,937
01/01/2019 21:00,0.05389,258,937
01/01/2019 22:00,0.05044,257.5,937
01/01/2019 23:00,0.04901,243.5,937
02/01/2019 00:00,0.05196,240,937
02/01/2019 01:00,0.05245,250,937
02/01/2019 02:00,0.04992,258.5,937
02/01/2019 03:00,0.04853,262,937
02/01/2019 04:00,0.04799,261,937
02/01/2019 05:00,0.05005,268,937
02/01/2019 06:00,0.06282,289,937
02/01/2019 07:00,0.05004,326.5,937
02/01/2019 08:00,0.053,328.5,937
02/01/2019 09:00,0.05637,334.5,937
02/01/2019 10:00,0.05871,342,937
02/01/2019 11:00,0.05795,341.5,937
02/01/2019 12:00,0.06344,344.5,937
02/01/2019 13:00,0.06294,353.5,937
02/01/2019 14:00,0.06393,365.5,937
02/01/2019 15:00,0.065,379,937
02/01/2019 16:00,0.0811,386,937
02/01/2019 17:00,0.10995,382,937
02/01/2019 18:00,0.085,377.5,937
02/01/2019 19:00,0.07994,386.5,937
02/01/2019 20:00,0.066,393,937
02/01/2019 21:00,0.05593,369,937
02/01/2019 22:00,0.05011,336,937
02/01/2019 23:00,0.055,317.5,937
03/01/2019 00:00,0.05499,316.5,937
03/01/2019 01:00,0.055,314.5,937
03/01/2019 02:00,0.05492,324.5,937
03/01/2019 03:00,0.05108,329,937
